Column1,Entity,Code,Year,cases,Total population,nsuffering,ndeaths,Age,Agecount,Gender,Gendercount
0,Afghanistan,AFG,2013,887474,34499915,359660,589,5-14 years,917,Male,581064
0,Afghanistan,AFG,2013,887474,34499915,359660,589,5-14 years,917,Female,304170.5
0,Afghanistan,AFG,2013,887474,34499915,359660,589,5-14 years,917,Others,2239.5
0,Afghanistan,AFG,2013,887474,34499915,359660,589,15-24 years,235166,Male,581064
0,Afghanistan,AFG,2013,887474,34499915,359660,589,15-24 years,235166,Female,304170.5
0,Afghanistan,AFG,2013,887474,34499915,359660,589,15-24 years,235166,Others,2239.5
0,Afghanistan,AFG,2013,887474,34499915,359660,589,25-34 years,451771,Male,581064
0,Afghanistan,AFG,2013,887474,34499915,359660,589,25-34 years,451771,Female,304170.5
0,Afghanistan,AFG,2013,887474,34499915,359660,589,25-34 years,451771,Others,2239.5
0,Afghanistan,AFG,2013,887474,34499915,359660,589,35-49 years,70991,Male,581064
0,Afghanistan,AFG,2013,887474,34499915,359660,589,35-49 years,70991,Female,304170.5
0,Afghanistan,AFG,2013,887474,34499915,359660,589,35-49 years,70991,Others,2239.5
0,Afghanistan,AFG,2013,887474,34499915,359660,589,50-69 years,104393,Male,581064
0,Afghanistan,AFG,2013,887474,34499915,359660,589,50-69 years,104393,Female,304170.5
0,Afghanistan,AFG,2013,887474,34499915,359660,589,50-69 years,104393,Others,2239.5
0,Afghanistan,AFG,2013,887474,34499915,359660,589, 70+ years ,24236,Male,581064
0,Afghanistan,AFG,2013,887474,34499915,359660,589, 70+ years ,24236,Female,304170.5
0,Afghanistan,AFG,2013,887474,34499915,359660,589, 70+ years ,24236,Others,2239.5
1,Albania,ALB,2013,16452,3238316,4140,21,5-14 years,132,Male,11082
1,Albania,ALB,2013,16452,3238316,4140,21,5-14 years,132,Female,5334
1,Albania,ALB,2013,16452,3238316,4140,21,5-14 years,132,Others,36
1,Albania,ALB,2013,16452,3238316,4140,21,15-24 years,7400,Male,11082
1,Albania,ALB,2013,16452,3238316,4140,21,15-24 years,7400,Female,5334
1,Albania,ALB,2013,16452,3238316,4140,21,15-24 years,7400,Others,36
1,Albania,ALB,2013,16452,3238316,4140,21,25-34 years,6822,Male,11082
1,Albania,ALB,2013,16452,3238316,4140,21,25-34 years,6822,Female,5334
1,Albania,ALB,2013,16452,3238316,4140,21,25-34 years,6822,Others,36
1,Albania,ALB,2013,16452,3238316,4140,21,35-49 years,1420,Male,11082
1,Albania,ALB,2013,16452,3238316,4140,21,35-49 years,1420,Female,5334
1,Albania,ALB,2013,16452,3238316,4140,21,35-49 years,1420,Others,36
1,Albania,ALB,2013,16452,3238316,4140,21,50-69 years,220,Male,11082
1,Albania,ALB,2013,16452,3238316,4140,21,50-69 years,220,Female,5334
1,Albania,ALB,2013,16452,3238316,4140,21,50-69 years,220,Others,36
1,Albania,ALB,2013,16452,3238316,4140,21, 70+ years ,458,Male,11082
1,Albania,ALB,2013,16452,3238316,4140,21, 70+ years ,458,Female,5334
1,Albania,ALB,2013,16452,3238316,4140,21, 70+ years ,458,Others,36
2,Algeria,DZA,2013,627474,36983924,262905,904,5-14 years,1146,Male,484823.5
2,Algeria,DZA,2013,627474,36983924,262905,904,5-14 years,1146,Female,144331
2,Algeria,DZA,2013,627474,36983924,262905,904,5-14 years,1146,Others,0
2,Algeria,DZA,2013,627474,36983924,262905,904,15-24 years,166616,Male,484823.5
2,Algeria,DZA,2013,627474,36983924,262905,904,15-24 years,166616,Female,144331
2,Algeria,DZA,2013,627474,36983924,262905,904,15-24 years,166616,Others,0
2,Algeria,DZA,2013,627474,36983924,262905,904,25-34 years,300666,Male,484823.5
2,Algeria,DZA,2013,627474,36983924,262905,904,25-34 years,300666,Female,144331
2,Algeria,DZA,2013,627474,36983924,262905,904,25-34 years,300666,Others,0
2,Algeria,DZA,2013,627474,36983924,262905,904,35-49 years,54690,Male,484823.5
2,Algeria,DZA,2013,627474,36983924,262905,904,35-49 years,54690,Female,144331
2,Algeria,DZA,2013,627474,36983924,262905,904,35-49 years,54690,Others,0
2,Algeria,DZA,2013,627474,36983924,262905,904,50-69 years,84890,Male,484823.5
2,Algeria,DZA,2013,627474,36983924,262905,904,50-69 years,84890,Female,144331
2,Algeria,DZA,2013,627474,36983924,262905,904,50-69 years,84890,Others,0
2,Algeria,DZA,2013,627474,36983924,262905,904, 70+ years ,19466,Male,484823.5
2,Algeria,DZA,2013,627474,36983924,262905,904, 70+ years ,19466,Female,144331
2,Algeria,DZA,2013,627474,36983924,262905,904, 70+ years ,19466,Others,0
3,American Samoa,ASM,2013,551,71834,130,1,5-14 years,6,Male,353
3,American Samoa,ASM,2013,551,71834,130,1,5-14 years,6,Female,198.5
3,American Samoa,ASM,2013,551,71834,130,1,5-14 years,6,Others,0
3,American Samoa,ASM,2013,551,71834,130,1,15-24 years,276,Male,353
3,American Samoa,ASM,2013,551,71834,130,1,15-24 years,276,Female,198.5
3,American Samoa,ASM,2013,551,71834,130,1,15-24 years,276,Others,0
3,American Samoa,ASM,2013,551,71834,130,1,25-34 years,218,Male,353
3,American Samoa,ASM,2013,551,71834,130,1,25-34 years,218,Female,198.5
3,American Samoa,ASM,2013,551,71834,130,1,25-34 years,218,Others,0
3,American Samoa,ASM,2013,551,71834,130,1,35-49 years,48,Male,353
3,American Samoa,ASM,2013,551,71834,130,1,35-49 years,48,Female,198.5
3,American Samoa,ASM,2013,551,71834,130,1,35-49 years,48,Others,0
3,American Samoa,ASM,2013,551,71834,130,1,50-69 years,0,Male,353
3,American Samoa,ASM,2013,551,71834,130,1,50-69 years,0,Female,198.5
3,American Samoa,ASM,2013,551,71834,130,1,50-69 years,0,Others,0
3,American Samoa,ASM,2013,551,71834,130,1, 70+ years ,14,Male,353
3,American Samoa,ASM,2013,551,71834,130,1, 70+ years ,14,Female,198.5
3,American Samoa,ASM,2013,551,71834,130,1, 70+ years ,14,Others,0
4,Andorra,AND,2013,801,88909,244,2,5-14 years,9,Male,553
4,Andorra,AND,2013,801,88909,244,2,5-14 years,9,Female,246
4,Andorra,AND,2013,801,88909,244,2,5-14 years,9,Others,2
4,Andorra,AND,2013,801,88909,244,2,15-24 years,387,Male,553
4,Andorra,AND,2013,801,88909,244,2,15-24 years,387,Female,246
4,Andorra,AND,2013,801,88909,244,2,15-24 years,387,Others,2
4,Andorra,AND,2013,801,88909,244,2,25-34 years,300,Male,553
4,Andorra,AND,2013,801,88909,244,2,25-34 years,300,Female,246
