subregion,ndeaths,nsufferings,drug_type,drug_death,Year
Australia,1030,134815,Amphetamine ,35,2000
Australia,1030,134815,Cocaine,6,2000
Australia,1030,134815,Heroin,592,2000
Australia,1030,134815,Opioid,398,2000
Central Asia,786,101981,Amphetamine ,37,2000
Central Asia,786,101981,Cocaine,42,2000
Central Asia,786,101981,Heroin,534,2000
Central Asia,786,101981,Opioid,174,2000
Eastern Asia,33129,5699754,Amphetamine ,1575,2000
Eastern Asia,33129,5699754,Cocaine,635,2000
Eastern Asia,33129,5699754,Heroin,17448,2000
Eastern Asia,33129,5699754,Opioid,13473,2000
Eastern Europe,14722,1171050,Amphetamine ,490,2000
Eastern Europe,14722,1171050,Cocaine,818,2000
Eastern Europe,14722,1171050,Heroin,9946,2000
Eastern Europe,14722,1171050,Opioid,3467,2000
Latin America,4616,1219746,Amphetamine ,98,2000
Latin America,4616,1219746,Cocaine,248,2000
Latin America,4616,1219746,Heroin,2547,2000
Latin America,4616,1219746,Opioid,1718,2000
Oceania,25,10532,Amphetamine ,1,2000
Oceania,25,10532,Cocaine,0,2000
Oceania,25,10532,Heroin,8,2000
Oceania,25,10532,Opioid,15,2000
Oceania,1,637,Amphetamine ,0,2000
Oceania,1,637,Cocaine,0,2000
Oceania,1,637,Heroin,1,2000
Oceania,1,637,Opioid,1,2000
Northern Africa,1781,1013521,Amphetamine ,30,2000
Northern Africa,1781,1013521,Cocaine,44,2000
Northern Africa,1781,1013521,Heroin,1331,2000
Northern Africa,1781,1013521,Opioid,377,2000
Northern America,15049,2458008,Amphetamine ,520,2000
Northern America,15049,2458008,Cocaine,1465,2000
Northern America,15049,2458008,Heroin,8263,2000
Northern America,15049,2458008,Opioid,4799,2000
Northern Europe,3215,375671,Amphetamine ,91,2000
Northern Europe,3215,375671,Cocaine,47,2000
Northern Europe,3215,375671,Heroin,2002,2000
Northern Europe,3215,375671,Opioid,1073,2000
Other,277,60398,Amphetamine ,6,2000
Other,277,60398,Cocaine,5,2000
Other,277,60398,Heroin,191,2000
Other,277,60398,Opioid,74,2000
Oceania,1,558,Amphetamine ,0,2000
Oceania,1,558,Cocaine,0,2000
Oceania,1,558,Heroin,0,2000
Oceania,1,558,Opioid,0,2000
South-eastern Asia,2870,836091,Amphetamine ,77,2000
South-eastern Asia,2870,836091,Cocaine,14,2000
South-eastern Asia,2870,836091,Heroin,1874,2000
South-eastern Asia,2870,836091,Opioid,904,2000
Southern Asia,10722,3075175,Amphetamine ,428,2000
Southern Asia,10722,3075175,Cocaine,279,2000
Southern Asia,10722,3075175,Heroin,5353,2000
Southern Asia,10722,3075175,Opioid,4662,2000
Southern Europe,2482,390853,Amphetamine ,55,2000
Southern Europe,2482,390853,Cocaine,23,2000
Southern Europe,2482,390853,Heroin,1700,2000
Southern Europe,2482,390853,Opioid,703,2000
Africa,6172,1275508,Amphetamine ,73,2000
Africa,6172,1275508,Cocaine,125,2000
Africa,6172,1275508,Heroin,5018,2000
Africa,6172,1275508,Opioid,948,2000
Western Asia,1488,846100,Amphetamine ,20,2000
Western Asia,1488,846100,Cocaine,36,2000
Western Asia,1488,846100,Heroin,1171,2000
Western Asia,1488,846100,Opioid,254,2000
Western Europe,3486,411809,Amphetamine ,54,2000
Western Europe,3486,411809,Cocaine,45,2000
Western Europe,3486,411809,Heroin,1724,2000
Western Europe,3486,411809,Opioid,1663,2000
Australia,810,117028,Amphetamine ,38,2005
Australia,810,117028,Heroin,6,2005
Australia,810,117028,Opioid,413,2005
Australia,810,117028,Cocaine,353,2005
Central Asia,1341,132199,Amphetamine ,51,2005
Central Asia,1341,132199,Heroin,73,2005
Central Asia,1341,132199,Opioid,951,2005
Central Asia,1341,132199,Cocaine,265,2005
Eastern Asia,16584,4757312,Amphetamine ,611,2005
Eastern Asia,16584,4757312,Heroin,291,2005
Eastern Asia,16584,4757312,Opioid,9190,2005
Eastern Asia,16584,4757312,Cocaine,6494,2005
Eastern Europe,18090,1302370,Amphetamine ,644,2005
Eastern Europe,18090,1302370,Heroin,1104,2005
Eastern Europe,18090,1302370,Opioid,12332,2005
Eastern Europe,18090,1302370,Cocaine,4010,2005
Latin America,4568,1290352,Amphetamine ,108,2005
Latin America,4568,1290352,Heroin,270,2005
Latin America,4568,1290352,Opioid,2684,2005
Latin America,4568,1290352,Cocaine,1505,2005
Oceania,29,11748,Amphetamine ,1,2005
Oceania,29,11748,Heroin,0,2005
Oceania,29,11748,Opioid,8,2005
Oceania,29,11748,Cocaine,18,2005
Oceania,1,683,Amphetamine ,0,2005
Oceania,1,683,Heroin,0,2005
Oceania,1,683,Opioid,1,2005
Oceania,1,683,Cocaine,1,2005
Northern Africa,2119,1102952,Amphetamine ,39,2005
Northern Africa,2119,1102952,Heroin,59,2005
Northern Africa,2119,1102952,Opioid,1583,2005
Northern Africa,2119,1102952,Cocaine,438,2005
Northern America,23754,3113172,Amphetamine ,1015,2005
Northern America,23754,3113172,Heroin,2372,2005
Northern America,23754,3113172,Opioid,13121,2005
Northern America,23754,3113172,Cocaine,7245,2005
Northern Europe,3441,406816,Amphetamine ,136,2005
Northern Europe,3441,406816,Heroin,69,2005
Northern Europe,3441,406816,Opioid,1917,2005
Northern Europe,3441,406816,Cocaine,1316,2005
Other,352,67808,Amphetamine ,7,2005
Other,352,67808,Heroin,8,2005
Other,352,67808,Opioid,236,2005
Other,352,67808,Cocaine,98,2005
Oceania,1,576,Amphetamine ,0,2005
Oceania,1,576,Heroin,0,2005
Oceania,1,576,Opioid,0,2005
Oceania,1,576,Cocaine,0,2005
South-eastern Asia,2788,869591,Amphetamine ,81,2005
South-eastern Asia,2788,869591,Heroin,15,2005
South-eastern Asia,2788,869591,Opioid,1794,2005
South-eastern Asia,2788,869591,Cocaine,895,2005
Southern Asia,13640,3560220,Amphetamine ,461,2005
Southern Asia,13640,3560220,Heroin,339,2005
Southern Asia,13640,3560220,Opioid,7422,2005
Southern Asia,13640,3560220,Cocaine,5420,2005
Southern Europe,2473,405134,Amphetamine ,64,2005
Southern Europe,2473,405134,Heroin,32,2005
Southern Europe,2473,405134,Opioid,1314,2005
Southern Europe,2473,405134,Cocaine,1059,2005
Africa,5837,1337839,Amphetamine ,104,2005
Africa,5837,1337839,Heroin,188,2005
Africa,5837,1337839,Opioid,4202,2005
Africa,5837,1337839,Cocaine,1332,2005
Western Asia,1675,926349,Amphetamine ,22,2005
Western Asia,1675,926349,Heroin,45,2005
Western Asia,1675,926349,Opioid,1323,2005
Western Asia,1675,926349,Cocaine,282,2005
Western Europe,3626,429659,Amphetamine ,77,2005
Western Europe,3626,429659,Heroin,42,2005
Western Europe,3626,429659,Opioid,1469,2005
Western Europe,3626,429659,Cocaine,2041,2005
Australia,973,127895,Amphetamine ,47,2010
Australia,973,127895,Cocaine,9,2010
